Dark Night of the Wise,Increased Maximum FP,FP Restoration upon Successive Attacks,Max FP permanently increased after releasing Sorcerer's Rise mechanism
Grand Drizzly Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Improved Attack Power with 3+ Colossal Swords Equipped,Fire Pots in possession at start of expedition
Grand Luminous Scene,{Raider] Damage taken while using Character Skill improves attack power and stamina,Faith +1,Improved Poison Resistance
Polished Tranquil Scene,Vigor +2,Improved Death Blight Resistance,
Polished Luminous Scene,Improved Attack Power with 3+ Whips Equipped,Changes compatible armament's skill to Lightning Slash at start of expedition,
Polished Tranquil Scene,Faith +3,Character Skill Cooldown Reduction +3,
Grand Burning Scene,{Guardian] Reflect a portion of damage received when ability is activated,Gravity Stone Chunks in possession at start of expedition,Changes compatible armament’s skill to Lightning Slash at start of expedition
Polished Burning Scene,Strength +3,Lightning Attack Power Up +2,
Grand Burning Scene,{Duchess] Dagger chain attack reprises event upon nearby enemies,Endurance +2,Intelligence +2
Polished Drizzly Scene,Improved Attack Power with 3+ Hammers Equipped,Dexterity +3,
Polished Burning Scene,Improved Dragon Cult Incantations,Faith +2,
Grand Tranquil Scene,{Recluse} Suffer blood loss and increase attack power upon Art activation,Improved Curved Sword Attack Power,Ultimate Art Gauge +2
Grand Burning Scene,{Duchess] Defeating enemies while Art is active ups attack power,Physical Attack Up +2,Magic Damage Negation Up
Polished Drizzly Scene,Arcane +1,Lightning Attack Power Up +2,
Polished Burning Scene,{Raider] Damage taken while using Character Skill improves attack power and stamina,Improved Rot Resistance,
Grand Drizzly Scene,Flask Also Heals Allies,Small Pouch in possession at start of expedition,Magic Pots in possession at start of expedition
Polished Luminous Scene,Improved Throwing Pot Damage,Small Pouch in possession at start of expedition,
Polished Luminous Scene,Shield Grease in possession at start of expedition,Improved Poison Resistance,
Polished Burning Scene,Shield Grease in possession at start of expedition,Mind +1,
Grand Tranquil Scene,"{Executor] While Character Skill is active, unlocking use of cursed sword restores HP",FP Restoration upon Heavy Thrusting Sword Attacks,Lightning Attack Power Up +1
Grand Burning Scene,{Guardian] Creates whirlwind when charging halberd attacks,Improved Roar & Breath Attacks,HP Restoration upon Thrusting Counterattack
Polished Luminous Scene,{Guardian] Slowly restores nearby allies’ HP while Art is active,Increased rune acquisition for self and allies,
Polished Luminous Scene,Draw enemy attention while guarding,Poisonbone Darts in possession at start of expedition,
Grand Luminous Scene,Max HP Up with 3+ Greatshields Equipped,Poise +3,Magic Attack Power Up
Polished Drizzly Scene,Changes compatible armament’s skill to Poisonous Mist at start of expedition,Holy Attack Power Up +2,
Polished Burning Scene,Improved Stance-Breaking when Wielding Two Armaments,Dexterity +1,
Polished Tranquil Scene,{Recluse} Activating Ultimate Art raises Max HP,HP Recovery From Successful Guarding,
Grand Burning Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Improved Greatsword Attack Power,Changes compatible armament’s skill to Eruption at start of expedition
Grand Burning Scene,Attack power up when facing scarlet rot-afflicted enemy,Dexterity +1,Physical Attack Up +1
Polished Luminous Scene,Mind +2,Holy Attack Power Up,
Polished Burning Scene,{Guardian] Creates whirlwind when charging halberd attacks,Improved Thorn Sorcery,
Grand Luminous Scene,FP Restoration upon Twinblade Attacks,Attack power up when facing poison-afflicted enemy,Mind +3
Grand Burning Scene,Vigor +2,Dexterity +2,Fire Damage Negation Up
Grand Burning Scene,{Ironeye] +1 additional Character Skill use,Mind +3,Physical Attack Up +1
Polished Drizzly Scene,Starting armament inflicts frost,Magic Attack Power Up +1,
Polished Burning Scene,"Raised stamina recovery for nearby allies, but not for self",Holy Attack Power Up,
Grand Drizzly Scene,Taking attacks improves attack power,Poise +2,Improved Madness Resistance
Grand Tranquil Scene,{Ironeye] +1 additional Character Skill use,Wraith Calling Bell in possession at start of expedition,Endurance +2
Grand Drizzly Scene,Improved Stance-Breaking when Wielding Two Armaments,Wraith Calling Bell in possession at start of expedition,Ultimate Art Gauge +2
Polished Burning Scene,{Executor] Character Skill Boosts Attack but Attacking Drains HP,Improved Rot Resistance,
Polished Luminous Scene,{Wylder] +1 additional Character Skill use,Ultimate Art Gauge +2,
Grand Luminous Scene,Defeating enemies near Totem Stela restores HP,FP Restoration upon Katana Attacks,Physical Attack Up +2
Polished Drizzly Scene,{Duchess] Defeating enemies while Art is active ups attack power,Poise +1,
Polished Luminous Scene,{Ironeye] Extends duration of weak point,Improved Throwing Stone Damage,
Polished Luminous Scene,Art gauge fills moderately upon critical hit,Starting armament deals holy damage,
Grand Luminous Scene,Flask Also Heals Allies,Improved Stonedigger Sorcery,Changes compatible armament’s skill to Storm Stomp at start of expedition
Polished Luminous Scene,Arcane +3,Improved Sleep Resistance,
Grand Burning Scene,Changes compatible armament’s skill to Hoarfrost Stomp at start of expedition,Critical Hits Earn Runes,Dexterity +2
Polished Burning Scene,Changes compatible armament's skill to Prayerful Strike at start of expedition,Faith +3,
Polished Drizzly Scene,Starlight Shards in possession at start of expedition,Improved Death Blight Resistance,
Grand Luminous Scene,Improved Guard Counters,Changes compatible armament's skill to Eruption at start of expedition,Endurance +3
Grand Tranquil Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Taking attacks improves attack power,Improved Throwing Stane Damage
Polished Burning Scene,Changes compatible armament's skill to Blood Blade at start of expedition,Lightning Attack Power Up +1,
Polished Drizzly Scene,"Raised stamina recovery for nearby allies, but not for self",Strength +2,
Grand Tranquil Scene,Rune discount for shop purchases while on expedition,Endurance +1,Dexterity +1
Grand Tranquil Scene,Art gauge charged from successful guarding,Improved Guard Counters,Arcane +2
Polished Burning Scene,{Revenant] Strengthens family and allies when Ultimate Art is activated,Fire Grease in possession at start of expedition,
Grand Drizzly Scene,{Wylder] Art gauge greatly filled when ability is activated,Intelligence +1,Improved Death Blight Resistance
Polished Burning Scene,Fire Pots in possession at start of expedition,Endurance +1,
Polished Drizzly Scene,{Wylder] Art activation spreads fire in area,Starting armament deals magic damage,
Grand Burning Scene,Starting armament deals holy damage,Changes compatible armament's skill to Sacred Blade at start of expedition,Improved Poison Resistance
Polished Burning Scene,Art gauge fills moderately upon critical hit,Starting armament inflicts poison,
Polished Burning Scene,Starting armament deals holy damage,Physical Attack Up +2,
Polished Burning Scene,Slowly restore HP for self and nearby allies when HP is low,Fire Grease in possession at start of expedition,
Grand Tranquil Scene,Improved Poise Near Totem Stela,"HP restored when using cured meats, medicinal boluses, etc.",Lightning Attack Power Up
Polished Burning Scene,FP Restoration upon Claw Attacks,Lightning Grease in possession at start of expedition,
Grand Burning Scene,Improved Poise Near Totem Stela,Lightning Grease in possession at start of expedition,Improved Madness Resistance
Grand Burning Scene,Starting armament deals fire damage,Changes compatible armament's skill to Storm Stomp at start of expedition,Strength +2
Polished Drizzly Scene,Improved Roar & Breath Attacks,Fire Grease in possession at start of expedition,
Polished Burning Scene,HP Restoration upon Axe Attacks,Character Skill Cooldown Reduction +3,
Grand Burning Scene,"HP restored when using cured meats, medicinal boluses, etc.",Changes compatible armament’s skill to Seppuku at start of expedition,Starlight Shards in possession at start of expedition
Polished Luminous Scene,Improved Gravity Sorcery,Improved Sleep Resistance,
Polished Luminous Scene,Fire Damage Negation Up,Improved Frost Resistance,
Polished Luminous Scene,Dexterity +3,Character Skill Cooldown Reduction +1,
Grand Luminous Scene,{Raider] Duration of Ultimate Art extended,Improved Whip Attack Power,Character Skill Cooldown Reduction +3
Polished Tranquil Scene,{Revenant] Power up while fighting alongside family,Faith +1,
Polished Luminous Scene,Taking attacks improves attack power,Changes compatible armament's skill to Lightning Slash at start of expedition,
Polished Luminous Scene,Defeating enemies near Totem Stela restores HP,Improved Fundamentalist Incantations,
Grand Tranquil Scene,"{Executor] While Character Skill is active, unlocking use of cursed sword restores HP",HP Restoration upon Twinblade Attacks,Mind +2
Grand Burning Scene,{Guardian] Increased duration for Character Skill,Improved Fist Attack Power,Faith +1
Grand Tranquil Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Fire Attack Power Up +2,Improved Frost Resistance
Polished Tranquil Scene,Improved Giants’ Flame Incantations,Endurance +2,
Polished Drizzly Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Crystal Darts in possession at start of expedition,
Grand Tranquil Scene,Slowly restore HP for self and nearby allies when HP is low,Changes compatible armament’s skill to Seppuku at start of expedition,Fire Attack Power Up +1
Grand Drizzly Scene,{Revenant] Power up while fighting alongside family,Holy Water Pots in possession at start of expedition,Vigor +2
Grand Tranquil Scene,Partial HP Restoration upon Post-Damage Attacks,Changes compatible armament’s skill to Poison Moth Flight at start of expedition,Character Skill Cooldown Reduction +1
Grand Burning Scene,Defeating enemies fills more of the Art gauge,Rune discount for shop purchases while on expedition,Strength +2
Polished Tranquil q Scene,{Ironeye] Art Charge Activation Adds Poison Effect,Improved Bow Attack Power,
Polished Drizzly Scene,{Recluse} Activating Ultimate Art raises Max HP,Items confer effect to all nearby allies,
Grand Burning Scene,FP Restoration upon Fist Attacks,Art gauge fills moderately upon critical hit,Improved Guard Counters
Polished Burning Scene,HP Restoration upon Dagger Attacks,Lightning Grease in possession at start of expedition,
Polished Tranquil Scene,{Raider] Damage taken while using Character Skill improves attack power and stamina,Poise +1,
Polished Luminous Scene,Art gauge fills moderately upon critical hit,Physical Attack Up,
Polished Luminous Scene,{Ironeye] Boosts thrusting counterattacks after executing Art,Improved Throwing Pot Damage,
Grand Tranquil Scene,Attack power permanently increased for each evergaol prisoner defeated,Treasure marked upon map,Improved Frost Resistance
Grand Drizzly Scene,{Raider] Damage taken while using Character Skill improves attack power and stamina,Improved Attack Power with 3+ Thrusting Swords Equipped,Art gauge charged from successful guarding
Grand Burning Scene,Improved Poise Near Totem Stela,Improved Carian Sword Sorcery,Glintstone Scraps in possession at start of expedition
Polished Burning Scene,Defeating enemies restores HP for allies but not for self,Arcane +1,
Polished Luminous Scene,HP Restoration upon Hammer Attacks,Physical Attack Up +2,
Torn Braided Cord,{Raider] Damage taken while using Character Skill improves attack power and stamina,Strength +3,
Blessed Iron Coin,{Duchess] Defeating enemies while Art is active ups attack power,Continuous HP Recovery,Vigor +3
Crown Medal,{Duchess] Dagger chain attack reprises event upon nearby enemies,Improved Dagger Attack Power,
Grand Tranquil Scene,{Guardian] Creates whirlwind when charging halberd attacks,HP Restoration upon Greataxe Attacks,Items confer effect to all nearby allies
Grand Drizzly Scene,Art gauge charged from successful guarding,Improved Frenzied Flame Incantations,Items confer effect to all nearby allies
Polished Tranquil Scene,HP Restoration upon Colossal Sword Attacks,Improved Carian Sword Sorcery,
Grand Tranquil Scene,{Revenant] Expend own HP to fully heal nearby allies when activating Art,Bewitching Branches in possession at start of expedition,Changes compatible armament’s skill to Quickstep at start of expedition
Polished Luminous Scene,Dexterity +1,Holy Attack Power Up +2,
Polished Luminous Scene,Improved Damage Negation at Low HP,Fire Attack Power Up +1,
Grand Tranquil Scene,Improved Damage Negation at Low HP,Changes compatible armament's skill to Chilling Mist at start of expedition,Magic Attack Power Up +2
Polished Drizzly Scene,Ultimate Art Gauge +1,Improved Blood Loss Resistance,
Polished Tranquil Scene,{Ironeye] Art Charge Activation Adds Poison Effect,Strength +2,
Polished Burning Scene,{Guardian] Creates whirlwind when charging halberd attacks,Art gauge charged from successful guarding,
Grand Tranquil Scene,Improved Poise Near Totem Stela,Poise +1,Magic Damage Negation Up
Polished Luminous Scene,Improved Throwing Knife Damage,Small Pouch in possession at start of expedition,
Grand Burning Scene,{Ironeye] Boosts thrusting counterattacks after executing Art,Improved Thorn Sorcery,Guard counter is given a boost based on current HP
Grand Burning Scene,{Recluse} Collecting affinity residue activates Terra Magica,Ultimate Art Gauge +3,Improved Blood Loss Resistance
Polished Luminous Scene,{Guardian] Creates whirlwind when charging halberd attacks,Vigor +3,
Polished Luminous Scene,Starting armament deals fire damage,Arcane +2,
Golden Dew,{Duchess] Improved Character Skill Attack Power,Boosts Attack Power of Added Affinity Attacks,
Grand Burning Scene,HP Restoration upon Thrusting Sword Attacks,Attack power increases after using grease items,Endurance +2
Polished Burning Scene,{Duchess] Improved Character Skill Attack Power,HP Restoration upon Great Spear Attacks,
Grand Burning Scene,"HP restored when using cured meats, medicinal boluses, etc.",Changes compatible armament's skill to Determination at start of expedition,Improved Sleep Resistance
Polished Burning Scene,{Guardian] Slowly restores nearby allies’ HP while Art is active,Faith +2,
Polished Burning Scene,Improved Initial Standard Attack,Increased rune acquisition for self and allies,
Grand Tranquil Scene,Improved Stance-Breaking when Two-Handing,Changes compatible armament's skill to Poisonous Mist at start of expedition,Intelligence +1
Polished Tranquil Scene,Defeating enemies near Totem Stela restores HP,Attack power up after defeating a Night Invader,
Polished Tranquil Scene,Changes compatible armament's skill to Gravitas at start of expedition,Improved Madness Resistance,
Grand Burning Scene,{Duchess] Improved Character Skill Attack Power,Art gauge fills moderately upon critical hit,Magic Grease in possession at start of expedition
Polished Drizzly Scene,Attack power up when facing frostbite-afflicted enemy,Physical Attack Up +2,
Polished Burning Scene,Changes compatible armament’s skill to Endure at start of expedition,Vigor +3,
Grand Burning Scene,FP Restoration upon Claw Attacks,Changes compatible armament's skill to Poisonous Mist at start of expedition,Improved Rot Resistance
Grand Burning Scene,{Ironeye] Extends duration of weak point,Arcane +2,Fire Attack Power Up
Grand Tranquil Scene,{Recluse} Collecting affinity residue activates Terra Magica,Vigor +3,Lightning Attack Power Up +1
Polished Drizzly Scene,Endurance +3,Dexterity +1,
Polished Burning Scene,Fire Pots in possession at start of expedition,Vigor +2,
Grand Tranquil Scene,Fire Attack Power Up +1,Improved Poison Resistance,Improved Rot Resistance
Grand Tranquil Scene,{Wylder] Art activation spreads fire in area,Intelligence +2,Character Skill Cooldown Reduction +3
Polished Luminous Scene,{Guardian] Increased duration for Character Skill,Starting armament deals magic damage,
Polished Tranquil Scene,Attack power up after defeating a Night Invader,Stonesword Key in possession at start of expedition,
Witch's Brooch,{Guardian] Slowly restores nearby allies’ HP while Art is active,{Guardian] Reflect a portion of damage received when ability is activated,Vigor +3
Grand Tranquil Scene,Improved Poise Near Totem Stela,Improved Stonedigger Sorcery,Poise +3
Grand Drizzly Scene,{Wylder] Art gauge greatly filled when ability is activated,Shield Grease in possession at start of expedition,Improved Rot Resistance
Grand Tranquil Scene,Improved Halberd Attack Power,Dexterity +3,Improved Sleep Resistance
Polished Tranquil Scene,Starting armament inflicts blood loss,Magic Grease in possession at start of expedition,
Polished Luminous Scene,Starting armament deals holy damage,Small Pouch in possession at start of expedition,
Grand Drizzly Scene,{Duchess] Dagger chain attack reprises event upon nearby enemies,HP Recovery From Successful Guarding,Starting armament deals holy damage
Grand Luminous Scene,Improved Attack Power with 3+ Heavy Thrusting Swords Equipped,Slowly restore HP for self and nearby allies when HP is low,Starting armament inflicts frost
Grand Tranquil Scene,{Raider] Duration of Ultimate Art extended,Stonesword Key in possession at start of expedition,Endurance +2
Polished Drizzly Scene,{Recluse} Activating Ultimate Art raises Max HP,"Raised stamina recovery for nearby allies, but not for self",
Polished Tranquil Scene,{Guardian] Increased duration for Character Skill,Improved Stance-Breaking when Two-Handing,
Grand Drizzly Scene,{Duchess] Dagger chain attack reprises event upon nearby enemies,Increased rune acquisition for self and allies,Improved Sleep Resistance
Polished Luminous Scene,FP Restoration upon Spear Attacks,Starting armament inflicts blood loss,
Polished Drizzly Scene,FP Restoration upon Katana Attacks,Physical Attack Up +1,
Grand Burning Scene,Art gauge fills moderately upon critical hit,Gravity Stone Chunks in possession at start of expedition,Mind +1
Grand Burning Scene,Partial HP Restoration upon Post-Damage Attacks,Attack power up when facing frostbite-afflicted enemy,Lightning Attack Power Up
Polished Burning Scene,Critical Hit Boosts Stamina Recovery Speed,Endurance +3,
Polished Burning Scene,Intelligence +3,Arcane +1,
Grand Tranquil Scene,{Duchess] Improved Character Skill Attack Power,Improved Dragon Cult Incantations,Stonesword Key in possession at start of expedition
Polished Drizzly Scene,Attack power up when facing poison-afflicted enemy,Endurance +2,
Polished Burning Scene,Improved Bow Attack Power,Improved Petfuming Arts,
Polished Tranquil Scene,Improved Thorn Sorcery,Changes compatible armament's skill to Gravitas at start of expedition,
Grand Burning Scene,{Revenant] Trigger ghostflame explosion during Ultimate Art activation,Improved Halberd Attack Power,Changes compatible armament’s skill to Poison Moth Flight at start of expedition
Grand Drizzly Scene,{Raider] Duration of Ultimate Art extended,Improved Attack Power with 3+ Claws Equipped,Changes compatible armament’s skill to Endure at start of expedition
Polished Luminous Scene,Fire Pots in possession at start of expedition,Throwing Daggers in possession at start of expedition,
Polished Luminous Scene,Improved Frenzied Flame Incantations,Glintstone Scraps in possession at start of expedition,
Grand Luminous Scene,Improved Stonedigger Sorcery,Defeating enemies fills more of the Art gauge,Wraith Calling Bell in possession at start of expedition
Grand Luminous Scene,{Executor] Roaring restores HP while Art is active,Improved Throwing Knife Damage,Crystal Darts in possession at start of expedition
Polished Luminous Scene,Changes compatible armament’s skill to Thunderbolt at start of expedition,Character Skill Cooldown Reduction +2,
Polished Luminous Scene,Poise +2,Lightning Attack Power Up +1,
Grand Drizzly Scene,Improved Attack Power with 3+ Whips Equipped,Gravity Stone Chunks in possession at start of expedition,Mind +2
Grand Luminous Scene,{Recluse} Activating Ultimate Art raises Max HP,Improved Halberd Attack Power,Shield Grease in possession at start of expedition
Polished Tranquil Scene,{Ironeye] +1 additional Character Skill use,Faith +1,
Grand Drizzly Scene,Improved Thorn Sorcery,Glintstone Scraps in possession at start of expedition,Changes compatible armament’s skill to Poisonous Mist at start of expedition
Polished Burning Scene,Improved Axe Attack Power,Strength +2,
Polished Tranquil Scene,{Wylder] Art gauge greatly filled when ability is activated,Improved Death Blight Resistance,
Third Volume,{Guardian] Creates whirlwind when charging halberd attacks,HP Restoration upon Halberd Attacks,
Grand Luminous Scene,Changes compatible armament’s skill to Seppuku at start of expedition,Character Skill Cooldown Reduction +2,Improved Frost Resistance
Polished Burning Scene,Dexterity +3,Character Skill Cooldown Reduction +2,
Polished Burning Scene,Shield Grease in possession at start of expedition,Holy Attack Power Up +1,
Grand Burning Scene,{Duchess] Defeating enemies while Art is active ups attack power,HP Restoration upon Straight Sword Attacks,Ultimate Art Gauge +2
Grand Burning Scene,Improved Dragon Cult Incantations,Lightning Pots in possession at start of expedition,Fire Attack Power Up +1
Grand Luminous Scene,Changes compatible armament's skill to Lightning Slash at start of expedition,Dexterity +3,Lightning Attack Power Up +1
Polished Luminous Scene,{Ironeye] Boosts thrusting counterattacks after executing Art,Improved Blood Loss Resistance,
Polished Burning Scene,"{Executor] While Character Skill is active, unlocking use of cursed sword restores HP",Fire Attack Power Up,
Grand Tranquil Scene,{Raider] Duration of Ultimate Art extended,Magic Pots in possession at start of expedition,Dexterity +3
Polished Drizzly Scene,{Ironeye] +1 additional Character Skill use,Arcane +3,
Grand Drizzly Scene,Increased rune acquisition for self and allies,Shield Grease in possession at start of expedition,Attack power up when facing scarlet rot-afflicted enemy
Polished Tranquil Scene,{Wylder] Art activation spreads fire in area,Improved Curved Greatsword Attack Power,
Polished Burning Scene,HP Recovery From Successful Guarding,Poise +2,
Grand Tranquil Scene,FP Restoration upon Twinblade Attacks,Art gauge fills moderately upon critical hit,Changes compatible armament’s skill to White Shadow's Lure at start of expedition
Polished Tranquil Scene,Magic Pots in possession at start of expedition,Crystal Darts in possession at start of expedition,
Grand Luminous Scene,HP Restoration upon Spear Attacks,FP Restoration upon Thrusting Sword Attacks,Lightning Grease in possession at start of expedition
Polished Tranquil Scene,HP Restoration upon Flail Attacks,Improved Critical Hits,
Polished Luminous Scene,Defeating enemies near Totem Stela restores HP,Improved Attack Power with 3+ Claws Equipped,
Grand Burning Scene,{Wylder] Art activation spreads fire in area,Attack power permanently increased for each evergaol prisoner defeated,Mind +2
Polished Burning Scene,Improved Godslayer Incantations,Magic Grease in possession at start of expedition,
Grand Luminous Scene,Endurance +2,Fire Attack Power Up +1,Magic Damage Negation Up
Polished Burning Scene,Changes compatible armament's skill to Sacred Blade at start of expedition,Faith +3,
Polished Burning Scene,{Wylder] Art activation spreads fire in area,Poise +2,
Stone Stake,{Guardian] Increased duration for Character Skill,Character Skill Cooldown Reduction +3,
Polished Burning Scene,Improved Stonedigger Sorcery,Changes compatible armament's skill to Flaming Strike at start of expedition,
Delicate Tranquil Scene,Changes compatible armament's skill to Rain of Arrows at start of expedition,,
Delicate Burning Scene,Changes compatible armament's skill to Chilling Mist at start of expedition,,
Grand Drizzly Scene,{Guardian] Reflect a portion of damage received when ability is activated,Vigor +2,Endurance +2
Grand Tranquil Scene,Partial HP Restoration upon Post-Damage Attacks,Changes compatible armament's skill to Determination at start of expedition,Arcane +3
Grand Drizzly Scene,"{Executor] While Character Skill is active, unlocking use of cursed sword restores HP",Changes compatible armament’s skill to White Shadow's Lure at start of expedition,Vigor +3
Polished Luminous Scene,{Guardian] Increased duration for Character Skill,Arcane +3,
Polished Burning Scene,Endurance +3,Poise +2,
Polished Tranquil Scene,Ultimate Art Gauge +3,Improved Poison Resistance,
Grand Burning Scene,Changes compatible armament's skill to Glintblade Phalanx at start of expedition,Faith +1,Ultimate Art Gauge +2
Grand Burning Scene,Defeating enemies fills more of the Art gauge,Poise +1,Physical Attack Up +2
Polished Burning Scene,Improved Poise & Damage Negation When Knocked Back by Damage,Endurance +2,
Polished Tranquil Scene,Improved Poise Near Totem Stela,Physical Attack Up +2,
Polished Burning Scene,Attack power up after defeating a Night Invader,Fire Pots in possession at start of expedition,
Grand Burning Scene,Improved Poise Near Totem Stela,Mind +3,Magic Attack Power Up +2
Grand Burning Scene,Improved Throwing Stone Damage,Intelligence +2,Lightning Attack Power Up +2
Grand Tranquil Scene,Improved Stance-Breaking when Wielding Two Armaments,Starting armament deals fire damage,Critical Hits Earn Runes
Polished Tranquil Scene,Improved Dragon Cult Incantations,Defeating enemies fills more of the Art gauge,
Grand Tranquil Scene,FP Restoration upon Colossal Sword Attacks,Faith +3,Improved Rot Resistance
Grand Burning Scene,{Ironeye] Art Charge Activation Adds Poison Effect,Strength +3,Intelligence +1
Polished Drizzly Scene,Improved Poise Near Totem Stela,Holy Attack Power Up,
Polished Tranquil Scene,Character Skill Cooldown Reduction +3,Improved Frost Resistance,
Grand Luminous Scene,{Executor] Character Skill Boosts Attack but Attacking Drains HP,Throwing Daggers in possession at start of expedition,Magic Damage Negation Up
Polished Luminous Scene,{Ironeye] +1 additional Character Skill use,Ultimate Art Gauge +1,
Polished Burning Scene,Improved Attack Power with 3+ Katana Equipped,Endurance +2,
Grand Burning Scene,{Ironeye] Boosts thrusting counterattacks after executing Art,Starting armament inflicts blood loss,Changes compatible armament’s skill to Quickstep at start of expedition
Polished Drizzly Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Changes compatible armament's skill to Lightning Slash at start of expedition,
Polished Burning Scene,Vigor +1,Magic Attack Power Up,
Grand Burning Scene,Attack power increases after using grease items,Stonesword Key in possession at start of expedition,Strength +2
Grand Burning Scene,{Recluse} Suffer blood loss and increase attack power upon Art activation,Attack power up when facing poison-afflicted enemy,Magic Attack Power Up
Polished Burning Scene,Guard countet is given a boost based on current HP,Character Skill Cooldown Reduction +3,
Polished Tranquil Scene,Defeating enemies near Totem Stela restores HP,Vigor +1,
Grand Tranquil Scene,{Guardian] Increased duration for Character Skill,Improved Attack Power with 3+ Flails Equipped,Magic Grease in possession at start of expedition
Grand Drizzly Scene,{Duchess] Defeating enemies while Art is active ups attack power,Starting armament deals holy damage,Intelligence +1
Grand Tranquil Scene,{Raider] Damage taken while using Character Skill improves attack power and stamina,Draw enemy attention while guarding,Fire Pots in possession at start of expedition
Grand Burning Scene,{Revenant] Power up while fighting alongside family,Improved Damage Negation at Low HP,Intelligence +1
Polished Tranquil Scene,Character Skill Cooldown Reduction +2,Fire Attack Power Up +2,
Grand Drizzly Scene,{Revenant] Expend own HP to fully heal nearby allies when activating Art,Poise +2,Improved Rot Resistance
Grand Drizzly Scene,{Wylder] +1 additional Character Skill use,HP Restoration upon Great Hammer Attacks,Changes compatible armament’s skill to Quickstep at start of expedition
Grand Drizzly Scene,Improved Carian Sword Sorcery,Changes compatible armament's skill to Poisonous Mist at start of expedition,Lightning Damage Negation Up
Polished Drizzly Scene,{Wylder] Art activation spreads fire in area,Changes compatible armament’s skill to Thunderbolt at start of expedition,
Grand Tranquil Scene,Improved Claw Attack Power,Draw enemy attention while guarding,Improved Glintblade Sorcery
Grand Tranquil Scene,Improved Stance-Breaking when Two-Handing,Starting armament deals holy damage,Small Pouch in possession at start of expedition
Polished Luminous Scene,HP Restoration upon Thrusting Counterattack,Faith +3,
Grand Drizzly Scene,{Duchess] Defeating enemies while Art is active ups attack power,Taking attacks improves attack power,Changes compatible armament’s skill to Seppuku at start of expedition
Polished Tranquil Scene,{Ironeye] Extends duration of weak point,Changes compatible armament's skill to Hoarfrost Stomp at start of expedition,
Grand Drizzly Scene,"HP restored when using cured meats, medicinal boluses, etc.","Raised stamina recovery for nearby allies, but not for self",Physical Attack Up +1
Polished Tranquil Scene,Improved Frenzied Flame Incantations,Mind +1,
Polished Burning Scene,{Guardian] Increased duration for Character Skill,Improved Attack Power with 3+ Straight Swords Equipped,
Grand Tranquil Scene,{Wylder] +1 additional Character Skill use,Wraith Calling Bell in possession at start of expedition,Holy Attack Power Up +2
Grand Drizzly Scene,Improved Poise Near Totem Stela,Critical Hit Boosts Stamina Recovery Speed,Defeating enemies restores HP for allies but not for self
Grand Tranquil Scene,Defeating enemies fills more of the Art gauge,Magic Damage Negation Up,Improved Rot Resistance
Grand Burning Scene,Strength +3,Poise +2,Holy Attack Power Up +2
Polished Burning Scene,Intelligence +1,Magic Attack Power Up,
Grand Tranquil Scene,Fire Grease in possession at start of expedition,Improved Poise & Damage Negation When Knocked Back by Damage,Ultimate Art Gauge +3
Grand Burning Scene,Magic Pots in possession at start of expedition,Strength +3,Fire Damage Negation Up
Polished Tranquil Scene,Improved Stance-Breaking when Two-Handing,Attack power up when facing frostbite-afflicted enemy,
Grand Tranquil Scene,{Revenant] Expend own HP to fully heal nearby allies when activating Art,Improved Crystalian sorcery,Poise +2
Grand Burning Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Improved Attack Power with 3+ Katana Equipped,Mind +3
Polished Tranquil Scene,{Recluse} Collecting affinity residue activates Terra Magica,Lightning Attack Power Up +2,
Grand Burning Scene,Improved Straight Sword Attack Power,Art gauge charged from successful guarding,Starting armament deals holy damage
Grand Tranquil Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Taking attacks improves attack power,Improved Frost Resistance
Grand Drizzly Scene,{Guardian] Slowly restores nearby allies’ HP while Art is active,Improved Damage Negation at Low HP,Strength +1
Polished Burning Scene,Endurance +3,Dexterity +2,
Polished Luminous Scene,Improved Poise Near Totem Stela,Starting armament deals fire damage,
The Wylder's Earring,{Wylder] +1 additional Character Skill use,{Wylder] Art activation spreads fire in area,Stamina recovers with each successful attack
Grand Drizzly Scene,{Wylder] Art activation spreads fire in area,Changes compatible armament's skill to Poisonous Mist at start of expedition,Attack power up when facing scarlet rot-afflicted enemy
Grand Tranquil Scene,Stamina recovers with each successful attack,Mind +2,Strength +2
Grand Tranquil Scene,Improved Petfuming Arts,Dexterity +3,Intelligence +1
Grand Drizzly Scene,{Revenant] Power up while fighting alongside family,"HP restored when using cured meats, medicinal boluses, etc.",Improved Bestial Incantations
Polished Luminous Scene,Critical Hits Earn Runes,Holy Attack Power Up +2,
Polished Burning Scene,{Revenant] Power up while fighting alongside family,HP Restoration upon Curved Greatsword Attacks,
Grand Tranquil Scene,FP Restoration upon Straight Sword Attacks,Starting armament deals fire damage,Poise +2
Polished Luminous Scene,{Guardian] Reflect a portion of damage received when ability is activated,HP Restoration upon Whip Attacks,
